Date,Machine_ID,Shift,Plant_Location,Planned_Production_Time,Downtime,Ideal_Cycle_Time,Downtime_Reason,Operating_Time,Total_Production,Defective_Production,Good_Production
2024-02-24,M2,C,Chennai,429,57.0,0.9907147074824595,Power Failure,372.0,293,27.0,266
2024-08-31,M3,A,Chennai,421,79.0,1.2357124305116598,Power Failure,342.0,252,7.0,245
2024-11-15,M4,B,Mumbai,443,24.15,0.8014348876700909,Breakdown,418.85,468,6.0,462
2024-05-10,M3,B,Chennai,430,79.0,1.3373068628289617,Power Failure,351.0,225,9.0,216
2024-11-02,M4,A,Pune,443,28.0,0.9411207082728683,Power Failure,415.0,427,7.0,420
2024-05-14,M3,B,Chennai,454,73.0,1.448187498420591,Maintenance,381.0,238,8.0,230
2024-01-21,M2,C,Mumbai,442,87.39999999999999,0.8815196667664362,Breakdown,354.6,336,27.0,309
2024-11-24,M2,A,Pune,451,74.0,0.971248808338324,Power Failure,377.0,356,52.0,304
2024-06-15,M3,C,Chennai,442,48.0,1.4357394306021938,Maintenance,394.0,211,9.0,202
2024-09-30,M3,A,Pune,453,89.69999999999999,1.5377334196797352,Breakdown,363.3,203,8.0,195
2024-03-29,M3,B,Mumbai,460,89.69999999999999,1.4233887686690754,Breakdown,370.3,223,9.0,214
2024-11-11,M4,C,Chennai,438,43.0,0.9556251322573044,Setup,395.0,335,9.0,326
2024-01-14,M2,B,Chennai,421,38.0,0.8069445736187305,Maintenance,383.0,424,54.0,370
2024-08-29,M4,B,Pune,479,47.0,0.8113895897396897,Maintenance,432.0,426,7.0,419
2024-09-21,M2,A,Chennai,470,65.0,0.8580101424591551,Maintenance,405.0,409,61.0,348
2024-12-11,M1,C,Chennai,421,138.0,0.9979445780932612,Breakdown,283.0,244,6.0,238
2024-02-22,M4,B,Chennai,434,37.0,0.9808620743974548,Setup,397.0,317,8.0,309
2024-12-05,M2,A,Chennai,475,65.55,0.8784496362653779,Breakdown,409.45,407,40.0,367
2024-04-01,M2,A,Mumbai,440,,0.9708392889611119,Power Failure,389.0,352,51.0,301
2024-09-20,M4,A,Chennai,454,28.0,0.8912696482140495,Power Failure,426.0,436,6.0,430
2024-02-04,M4,B,Pune,424,41.0,0.8303365696733355,Power Failure,383.0,404,8.0,396
2024-07-24,M2,A,Mumbai,462,36.0,0.9069636329886288,Setup,426.0,456,55.0,401
2024-03-21,M4,C,Pune,446,67.85,0.8599982941107422,Breakdown,378.15,339,3.0,336
2024-02-19,M3,C,Pune,443,57.0,1.4663074575248167,Maintenance,386.0,226,7.0,219
2024-12-25,M4,B,Pune,426,28.0,0.9287267576239241,Power Failure,398.0,346,5.0,341
2024-01-02,M4,C,Mumbai,425,21.0,0.8484844190012149,Power Failure,404.0,365,,361
2024-02-23,M4,A,Mumbai,465,36.8,0.9533344970672308,Breakdown,428.2,394,11.0,383
2024-04-15,M2,B,Mumbai,452,39.0,0.8697733443590355,Maintenance,413.0,377,51.0,326
2024-09-16,M3,A,Chennai,477,58.0,1.3180912998221854,Setup,419.0,278,11.0,267
2024-11-05,M1,B,Pune,468,86.0,0.9815450686258685,Power Failure,382.0,317,9.0,308
2024-07-09,M1,B,Mumbai,436,85.0,0.8989553686947325,Power Failure,351.0,317,7.0,310
2024-08-05,M3,A,Pune,465,57.0,1.2933017287290194,Power Failure,408.0,290,10.0,280
2024-02-13,M3,C,Mumbai,461,54.0,1.581742138129938,Maintenance,407.0,197,8.0,189
2024-06-10,M3,C,Mumbai,449,67.0,1.5495628955140668,Power Failure,382.0,209,7.0,202
2024-07-20,M2,B,Mumbai,427,66.0,0.8887470725117209,Maintenance,361.0,361,45.0,316
2024-09-26,M1,A,Pune,459,103.0,,Power Failure,356.0,328,9.0,319
2024-12-16,M3,A,Chennai,465,38.0,1.2198450946647728,Power Failure,427.0,308,10.0,298
2024-10-30,M2,B,Mumbai,426,47.0,0.9884522347317122,Maintenance,379.0,326,35.0,291
2024-09-27,M1,C,Mumbai,425,116.0,0.9267744892104158,Maintenance,309.0,273,10.0,263
2024-08-02,M4,A,Mumbai,423,42.0,0.8577702246663264,Setup,381.0,415,5.0,410
2024-09-08,M2,C,Chennai,420,74.75,,Breakdown,345.25,350,28.0,322
2024-07-08,M1,C,Pune,434,138.0,0.8130928704295293,Power Failure,296.0,267,7.0,260
2024-10-22,M2,B,Pune,450,76.0,0.9320772880542688,Power Failure,374.0,342,30.0,312
2024-07-31,M1,B,Pune,444,109.24999999999999,0.8254041539572576,Breakdown,334.75,355,9.0,346
2024-07-26,M1,C,Pune,466,93.14999999999999,0.9493807310711047,Breakdown,372.85,321,7.0,314
2024-08-24,M4,A,Mumbai,452,56.349999999999994,0.9607918232181891,Breakdown,395.65,383,4.0,379
2024-12-03,M2,A,Chennai,471,45.0,0.9602311194602314,Power Failure,426.0,414,40.0,374
2024-02-22,M3,B,Mumbai,454,37.0,1.5135667715386194,Power Failure,417.0,217,8.0,209
2024-10-06,M4,C,Chennai,474,44.0,0.8953895532379069,Power Failure,430.0,414,12.0,402
2024-08-04,M4,A,Pune,424,57.0,0.8705536931713912,Maintenance,367.0,400,10.0,390
2024-09-08,M1,A,Chennai,424,,0.9076230250989044,Setup,296.0,270,7.0,263
2024-07-06,M3,B,Mumbai,455,36.0,1.5999699307332707,Setup,419.0,214,7.0,207
2024-02-10,M2,C,Mumbai,436,65.55,0.9685176758867335,Breakdown,370.45,305,41.0,264
2024-06-05,M3,A,Pune,472,73.6,1.3852918549636115,Breakdown,398.4,259,7.0,252
2024-01-15,M3,B,Mumbai,471,40.0,1.334752785790632,Power Failure,431.0,265,10.0,255
2024-10-27,M3,A,Mumbai,433,67.0,1.2433993380281754,Setup,366.0,246,8.0,238
2024-03-05,M3,A,Chennai,477,66.0,1.3947692593276442,Setup,411.0,257,6.0,251
2024-12-10,M3,A,Mumbai,448,60.0,1.2104231543942372,Maintenance,388.0,281,10.0,271
2024-11-22,M1,B,Pune,427,117.0,0.8331127030170709,Power Failure,310.0,305,8.0,297
2024-01-09,M1,C,Pune,453,134.0,0.8921018319816357,Power Failure,319.0,294,8.0,286
2024-12-09,M4,B,Mumbai,459,37.0,0.8831498105064332,Setup,422.0,415,8.0,407
2024-05-08,M1,C,Pune,420,130.0,0.9618491673506966,Setup,290.0,250,9.0,241
2024-05-15,M4,A,Chennai,448,38.0,0.8543537395347596,Maintenance,410.0,432,7.0,425
2024-03-03,M4,C,Chennai,455,20.0,0.847408301783736,Maintenance,435.0,424,10.0,414
2024-05-18,M2,A,Mumbai,470,76.0,0.8398473526971091,Power Failure,394.0,426,40.0,386
2024-03-21,M3,A,Mumbai,456,38.0,1.3581169991802686,Maintenance,418.0,262,12.0,250
2024-06-11,M1,B,Chennai,448,108.0,0.8721406405812064,Setup,340.0,317,9.0,308
2024-10-15,M2,A,Pune,424,30.0,0.8219249972660005,Power Failure,394.0,409,,363
2024-09-17,M1,B,Mumbai,472,97.0,0.8894736955983744,Setup,375.0,372,13.0,359
2024-08-18,M4,C,Mumbai,451,50.0,0.9088499428991277,Power Failure,401.0,362,3.0,359
2024-02-10,M1,C,Pune,479,89.0,0.8924461931815605,Power Failure,390.0,357,13.0,344
2024-01-28,M3,A,Mumbai,471,38.0,1.2791070510470073,Setup,433.0,318,14.0,304
2024-05-14,M4,B,Pune,443,28.0,0.874889975507687,Power Failure,415.0,424,12.0,412
2024-07-19,M4,A,Pune,438,27.0,0.917328602489127,Power Failure,411.0,414,11.0,403
2024-11-23,M2,B,Pune,431,53.0,0.964005564453085,Maintenance,378.0,324,26.0,298
2024-09-24,M3,B,Pune,471,60.0,1.2649802111378659,Setup,411.0,278,13.0,265
2024-02-02,M4,B,Pune,420,,0.9577954375704587,Setup,362.0,322,9.0,313
2024-02-17,M3,C,Chennai,426,70.0,1.4458499130717664,Maintenance,356.0,198,7.0,191
2024-03-02,M1,B,Pune,436,96.0,0.9364458535153168,Power Failure,340.0,291,,283
2024-08-03,M3,C,Chennai,453,40.25,1.3163902022995462,Breakdown,412.75,260,9.0,251
2024-10-19,M4,B,Pune,462,49.449999999999996,0.8243678222708978,Breakdown,412.55,422,8.0,414
2024-04-08,M2,C,Mumbai,426,70.0,0.9002421502749384,Setup,356.0,334,43.0,291
2024-06-20,M4,C,Chennai,436,52.0,0.9877421632834054,Maintenance,384.0,325,6.0,319
2024-12-25,M3,C,Mumbai,478,47.0,1.372993350349064,Power Failure,431.0,247,8.0,239
2024-08-01,M3,A,Pune,422,48.0,1.2436788397701386,Maintenance,374.0,256,8.0,248
2024-02-04,M4,B,Pune,448,27.0,0.8156208608041826,Power Failure,421.0,449,12.0,437
2024-08-14,M3,A,Mumbai,441,50.0,1.5172442700112885,Setup,391.0,228,8.0,220
2024-04-10,M1,B,Pune,457,103.0,0.9764562190090766,Setup,354.0,302,6.0,296
2024-05-10,M4,B,Mumbai,473,60.949999999999996,0.834324670376913,Breakdown,412.05,434,12.0,422
2024-09-13,M2,A,Pune,462,72.0,0.8803490410849957,Maintenance,390.0,411,,377
2024-01-05,M4,C,Pune,448,44.0,0.9761507676113437,Setup,404.0,319,6.0,313
2024-08-05,M1,B,Chennai,469,122.0,0.8101948071583324,Maintenance,347.0,359,10.0,349
2024-09-11,M1,C,Mumbai,469,96.0,0.9149133807320096,Setup,373.0,348,7.0,341
2024-12-24,M1,A,Pune,473,115.0,0.9518181922792054,Power Failure,358.0,362,12.0,350
2024-10-09,M1,C,Mumbai,461,87.0,0.8766703268530445,Power Failure,374.0,327,9.0,318
2024-07-25,M1,B,Chennai,424,148.35,0.8726256885692144,Breakdown,275.65,256,6.0,250
2024-01-15,M2,B,Mumbai,449,79.0,0.9501378436977443,Setup,370.0,323,47.0,276
2024-12-11,M3,B,Chennai,442,69.0,1.3614694630496111,Breakdown,373.0,253,10.0,243
2024-02-11,M1,A,Mumbai,474,132.25,0.9409825856488289,Breakdown,341.75,319,10.0,309
2024-06-27,M1,B,Mumbai,440,110.0,0.9558410229477767,Setup,330.0,292,9.0,283
2024-03-03,M4,A,Chennai,475,39.0,0.8851243124837631,Setup,436.0,403,5.0,398
2024-12-17,M2,C,Pune,445,78.0,0.891363265241264,Power Failure,367.0,310,42.0,268
2024-08-18,M2,B,Pune,473,42.55,0.8768320366184964,Breakdown,430.45,430,61.0,369
2024-08-28,M3,B,Pune,466,32.0,1.594309466079021,Power Failure,434.0,236,9.0,227
2024-02-21,M2,B,Mumbai,440,40.0,0.8234082965376888,Maintenance,400.0,408,33.0,375
2024-04-05,M4,C,Mumbai,439,36.0,0.8585192887247886,Maintenance,403.0,362,7.0,355
2024-08-09,M4,B,Pune,442,44.849999999999994,0.8272455556636898,Breakdown,397.15,396,5.0,391
2024-08-18,M3,A,Mumbai,423,46.0,1.4627616423839027,Breakdown,377.0,236,9.0,227
2024-08-24,M4,C,Mumbai,440,39.0,0.8166904231475587,Setup,401.0,375,9.0,366
2024-05-22,M1,C,Pune,440,105.0,0.845292120751611,Setup,335.0,341,12.0,329
2024-06-19,M1,C,Chennai,420,118.44999999999999,0.8693937996740038,Breakdown,301.55,269,5.0,264
2024-01-29,M4,C,Mumbai,434,63.24999999999999,0.9285483800802851,Breakdown,370.75,308,3.0,305
2024-02-05,M3,C,Mumbai,436,,1.4049130919544468,Maintenance,359.0,198,4.0,194
2024-01-13,M2,A,Mumbai,470,63.0,0.850567240614958,Power Failure,407.0,445,47.0,398
2024-06-08,M3,C,Mumbai,433,44.0,1.488605625738166,Maintenance,389.0,199,5.0,194
2024-11-22,M2,B,Chennai,478,45.0,0.8683096233846352,Maintenance,433.0,422,62.0,360
2024-07-05,M4,C,Pune,438,27.0,0.9096946842350793,Power Failure,411.0,363,5.0,358
2024-08-30,M4,C,Mumbai,469,58.65,0.8441400799311135,Breakdown,410.35,366,8.0,358
2024-03-26,M1,C,Pune,479,93.14999999999999,0.976069639170398,Breakdown,385.85,298,6.0,292
2024-10-10,M2,C,Mumbai,453,66.0,0.929769665738903,Maintenance,387.0,361,44.0,317
2024-03-06,M3,C,Chennai,425,70.0,1.427491176659264,Maintenance,355.0,191,6.0,185
2024-06-18,M4,A,Pune,464,53.0,0.8054741384267404,Power Failure,411.0,474,11.0,463
2024-02-14,M3,A,Chennai,468,41.0,1.5284314309787401,Setup,427.0,263,12.0,251
2024-03-02,M1,C,Mumbai,425,106.0,0.9165743144057102,Setup,319.0,262,9.0,253
2024-05-13,M2,A,Chennai,472,85.1,0.9216595227483794,Breakdown,386.9,365,47.0,318
2024-10-10,M2,B,Chennai,473,78.0,0.9453117574448524,Setup,395.0,338,43.0,295
2024-01-28,M4,C,Mumbai,424,59.8,0.8129747275670215,Breakdown,364.2,346,4.0,342
2024-04-17,M2,B,Mumbai,426,49.449999999999996,0.8728447867453009,Breakdown,376.55,345,43.0,302
2024-02-13,M4,B,Pune,452,48.3,0.8167326820102366,Breakdown,403.7,435,6.0,429
2024-12-05,M1,C,Mumbai,432,133.0,0.9173838713180172,Power Failure,299.0,276,9.0,267
2024-10-12,M2,B,Pune,470,35.0,0.814591972782591,Maintenance,435.0,462,60.0,402
2024-11-26,M4,B,Chennai,473,29.0,0.8996296874469134,Setup,444.0,436,6.0,430
2024-05-07,M3,B,Chennai,420,68.0,1.5210193213578318,Power Failure,352.0,190,7.0,183
2024-12-13,M4,C,Pune,432,46.0,0.8694690085880035,Setup,386.0,350,6.0,344
2024-08-18,M2,C,Mumbai,462,76.0,0.9783736408762652,Power Failure,386.0,311,37.0,274
2024-07-08,M1,B,Mumbai,446,132.0,0.8925166373298895,Setup,314.0,290,,281
2024-08-12,M2,C,Chennai,426,70.0,0.9178401813527707,Setup,356.0,287,37.0,250
2024-10-09,M2,C,Pune,471,39.0,0.8557389708605652,Maintenance,432.0,393,46.0,347
2024-04-30,M4,B,Chennai,422,32.0,0.8353726424187832,Setup,390.0,406,9.0,397
2024-04-25,M3,C,Chennai,477,68.0,1.3009166357045283,Power Failure,409.0,262,8.0,254
2024-08-20,M2,A,Mumbai,444,63.0,0.858280453257649,Setup,381.0,373,52.0,321
2024-09-15,M3,C,Pune,452,53.0,1.598139518570888,Maintenance,399.0,204,6.0,198
2024-12-24,M4,A,Chennai,459,29.0,0.8784524291535388,Setup,430.0,465,8.0,457
2024-07-16,M3,B,Mumbai,436,69.0,1.3026130470443913,Power Failure,367.0,235,8.0,227
2024-05-16,M4,C,Chennai,464,57.0,0.9947680529950429,Setup,407.0,307,6.0,301
2024-11-13,M1,B,Chennai,433,84.0,0.9748888776412319,Maintenance,349.0,316,8.0,308
2024-06-13,M3,B,Mumbai,456,43.0,1.5493460358234872,Maintenance,413.0,231,7.0,224
2024-08-12,M3,B,Mumbai,477,56.0,,Maintenance,421.0,243,7.0,236
2024-11-02,M1,B,Pune,475,89.0,0.8335757802165693,Maintenance,386.0,396,7.0,389
2024-08-21,M3,B,Chennai,473,80.5,1.4514679706793172,Breakdown,392.5,229,10.0,219
2024-06-20,M1,C,Pune,442,98.0,0.9005687421286271,Maintenance,344.0,295,7.0,288
2024-05-31,M2,A,Mumbai,478,58.0,0.8697182300753167,Setup,420.0,452,51.0,401
2024-11-10,M4,C,Mumbai,443,53.0,,Setup,390.0,352,7.0,345
2024-06-08,M1,C,Chennai,448,108.0,,Setup,340.0,288,8.0,280
2024-04-05,M3,C,Pune,457,79.5,1.5417691841310472,Setup,404.0,206,7.0,199
2024-08-20,M1,C,Pune,478,151.79999999999998,0.8795362270290069,Breakdown,326.20000000000005,291,9.0,282
2024-06-28,M3,A,Chennai,473,67.85,1.4120699079068493,Breakdown,405.15,252,7.0,245
2024-04-22,M2,C,Chennai,446,64.39999999999999,0.8650103047219175,Breakdown,381.6,355,34.0,321
2024-11-13,M1,B,Pune,457,115.0,0.9251595679242461,Setup,342.0,313,9.0,304
2024-02-21,M2,C,Mumbai,472,61.0,0.8111087246745141,Power Failure,411.0,389,48.0,341
2024-09-24,M4,C,Mumbai,459,26.0,0.8408807549531072,Power Failure,433.0,375,5.0,370
2024-10-21,M3,A,Chennai,464,33.0,1.3847093217245166,Setup,431.0,284,5.0,279
2024-04-22,M3,A,Pune,469,65.0,1.2419033038153993,Maintenance,404.0,270,12.0,258
2024-04-10,M2,B,Pune,442,32.0,0.8053703908068285,Maintenance,410.0,409,45.0,364
2024-04-22,M4,C,Pune,450,55.0,0.9557304302149818,Setup,395.0,334,9.0,325
2024-03-21,M1,C,Mumbai,455,124.0,0.8581332523198755,Maintenance,331.0,297,8.0,289
2024-07-05,M1,C,Mumbai,436,124.0,0.802925707841014,Maintenance,312.0,292,10.0,282
2024-04-22,M3,B,Pune,456,61.0,1.5932060625001039,Power Failure,395.0,214,4.0,210
2024-01-02,M2,A,Pune,422,54.0,0.8736267179962277,Setup,368.0,364,30.0,334
2024-05-09,M2,B,Chennai,455,47.15,0.89873817099387,Breakdown,407.85,380,34.0,346
2024-08-07,M1,C,Chennai,474,96.0,0.8812654946093451,Power Failure,378.0,353,7.0,346
2024-02-23,M4,A,Pune,424,39.0,0.9131989676538383,Setup,385.0,392,9.0,383
2024-12-08,M4,A,Pune,465,47.0,0.8872098441243782,Setup,418.0,438,6.0,432
2024-08-11,M1,B,Mumbai,434,92.0,0.8223455654712125,Power Failure,342.0,358,9.0,349
2024-08-12,M1,A,Pune,471,129.0,0.9092495935205778,Maintenance,342.0,329,8.0,321
2024-05-05,M2,A,Chennai,468,67.0,0.9871451698116829,Maintenance,401.0,373,53.0,320
2024-05-09,M4,C,Mumbai,425,58.0,0.8346169145640804,Power Failure,367.0,341,4.0,337
2024-02-22,M1,C,Chennai,478,138.0,0.8639098125756813,Setup,340.0,294,6.0,288
2024-06-20,M1,A,Chennai,429,111.55,0.8168340873120408,Breakdown,317.45,362,8.0,354
2024-08-05,M3,A,Mumbai,473,33.0,1.415108311117844,Setup,440.0,274,5.0,269
2024-06-08,M1,B,Chennai,451,120.74999999999999,0.9433263179530822,Breakdown,330.25,301,8.0,293
2024-07-16,M1,B,Pune,442,129.95,0.8530612740240838,Breakdown,312.05,303,10.0,293
2024-09-03,M4,A,Chennai,467,56.0,0.9536445342672963,Setup,411.0,371,5.0,366
2024-11-19,M2,C,Mumbai,436,31.0,0.876235000193036,Setup,405.0,401,52.0,349
2024-07-21,M4,A,Mumbai,465,53.0,0.9168437242585608,Setup,412.0,406,7.0,399
2024-07-02,M2,A,Mumbai,439,40.25,0.902303027216645,Breakdown,398.75,402,51.0,351
2024-05-02,M3,C,Chennai,463,66.0,1.3172447516533843,Maintenance,397.0,222,6.0,216
2024-09-11,M1,C,Pune,460,116.14999999999999,0.8355239638910404,Breakdown,343.85,310,7.0,303
2024-10-20,M3,B,Mumbai,434,77.05,1.3411691572372406,Breakdown,356.95,210,5.0,205
2024-10-06,M2,B,Pune,463,89.69999999999999,0.9490145229182977,Breakdown,373.3,335,40.0,295
2024-11-20,M4,B,Mumbai,465,41.0,0.9960000831198663,Power Failure,424.0,378,6.0,372
2024-04-07,M4,B,Pune,477,25.0,0.9043577634274689,Maintenance,452.0,435,8.0,427
2024-07-16,M3,C,Pune,441,43.699999999999996,1.3573922202354505,Breakdown,397.3,232,11.0,221
2024-08-27,M2,A,Pune,469,67.85,0.9893598555591518,Breakdown,401.15,380,33.0,347
2024-05-23,M3,B,Mumbai,471,52.0,1.4290682332764484,Power Failure,419.0,256,10.0,246
2024-04-06,M3,B,Chennai,425,75.89999999999999,1.5004976120739486,Breakdown,349.1,188,9.0,179
2024-07-19,M1,C,Chennai,423,82.0,0.8000660318518953,Maintenance,341.0,320,9.0,311
2024-05-03,M3,C,Chennai,477,49.449999999999996,1.4122092365459578,Breakdown,427.55,250,6.0,244
2024-07-05,M1,A,Pune,442,81.0,0.8162168682532573,Maintenance,361.0,383,13.0,370
2024-11-21,M1,A,Mumbai,463,89.0,0.8759912250294817,Maintenance,374.0,382,7.0,375
2024-12-14,M4,C,Pune,464,44.0,0.8782872040445712,Setup,420.0,407,12.0,395
2024-09-15,M1,B,Mumbai,438,,0.882463515616625,Power Failure,313.0,278,6.0,272
2024-05-27,M1,B,Pune,473,120.0,0.958403841588027,Power Failure,353.0,293,11.0,282
2024-09-08,M4,B,Mumbai,464,57.0,0.8979079084188308,Power Failure,407.0,378,9.0,369
2024-12-11,M3,A,Mumbai,450,69.0,1.3764595300187208,Setup,381.0,254,11.0,243
2024-05-26,M2,B,Mumbai,463,47.0,0.9319405879120515,Setup,416.0,366,45.0,321
2024-05-27,M2,B,Pune,471,72.0,0.8506938282485788,Maintenance,399.0,401,56.0,345
2024-12-17,M2,C,Chennai,422,63.0,0.8420370207243087,Power Failure,359.0,340,47.0,293
2024-07-17,M3,B,Pune,447,53.0,1.5485015623280778,Setup,394.0,214,9.0,205
2024-11-03,M1,C,Pune,422,113.0,0.8763743504469002,Setup,309.0,267,9.0,258
2024-05-07,M2,B,Mumbai,433,35.0,0.8619310548760922,Setup,398.0,421,34.0,387
2024-02-08,M3,A,Mumbai,437,70.0,1.4248058618172097,Maintenance,367.0,234,5.0,229
2024-12-03,M1,B,Chennai,446,96.6,0.8719923049766312,Breakdown,349.4,354,11.0,343
2024-12-25,M4,B,Chennai,470,38.0,0.8303413231007797,Setup,432.0,460,9.0,451
2024-05-08,M2,C,Mumbai,479,65.0,0.9991727750861403,Setup,414.0,329,44.0,285
2024-09-23,M1,C,Chennai,429,104.0,0.9249478919812917,Setup,325.0,264,9.0,255
2024-05-30,M2,C,Chennai,468,30.0,0.9450013648894624,Power Failure,438.0,364,29.0,335
2024-10-24,M2,B,Mumbai,434,54.0,0.9975171483077149,Power Failure,380.0,339,35.0,304
2024-04-08,M2,B,Pune,438,57.0,0.8725233903170925,Setup,381.0,367,32.0,335
2024-09-19,M1,A,Chennai,428,121.0,0.9930879120253548,Maintenance,307.0,252,7.0,245
2024-09-08,M3,B,Mumbai,423,80.5,1.4754048753638251,Breakdown,342.5,187,4.0,183
2024-05-23,M1,A,Chennai,434,85.0,0.8513488174869116,Power Failure,349.0,356,11.0,345
2024-12-11,M2,C,Chennai,470,65.55,0.8433866360364839,Breakdown,404.45,371,31.0,340
2024-04-21,M1,C,Mumbai,467,127.0,0.9751113308699213,Setup,340.0,296,11.0,285
2024-02-29,M4,C,Chennai,427,57.0,0.8829300355590408,Power Failure,370.0,312,8.0,304
2024-01-02,M3,A,Chennai,468,74.75,1.4226782683283412,Breakdown,393.25,244,6.0,238
2024-10-30,M1,B,Chennai,472,125.0,0.9781715229015425,Setup,347.0,317,12.0,305
2024-09-10,M4,C,Pune,420,56.0,0.8287205451309423,Power Failure,364.0,357,7.0,350
2024-05-19,M3,B,Pune,426,35.0,1.4581962156665411,Setup,391.0,230,11.0,219
2024-02-06,M4,B,Chennai,472,50.0,0.9737944330128004,Power Failure,422.0,345,7.0,338
2024-06-08,M3,C,Mumbai,450,63.24999999999999,1.5518831929616215,Breakdown,386.75,191,,182
2024-01-09,M1,A,Chennai,437,142.6,0.857550848112465,Breakdown,294.4,300,6.0,294
2024-08-20,M4,B,Chennai,431,22.0,0.9705473491463863,Power Failure,409.0,357,8.0,349
2024-04-08,M2,C,Pune,467,44.0,0.8233096726867108,Maintenance,423.0,402,48.0,354
2024-05-26,M4,B,Pune,449,20.0,0.9557070742006811,Setup,429.0,359,5.0,354
2024-10-30,M3,B,Pune,452,79.35,1.5395154350956624,Breakdown,372.65,220,9.0,211
2024-07-26,M1,B,Chennai,478,130.0,0.8317083071183221,Maintenance,348.0,322,9.0,313
2024-05-10,M3,B,Chennai,466,64.0,1.3351605703100253,Power Failure,402.0,247,12.0,235
2024-05-31,M4,B,Mumbai,426,50.599999999999994,0.8939109427987066,Breakdown,375.4,369,6.0,363
2024-02-23,M4,A,Chennai,447,41.4,0.8594153915592946,Breakdown,405.6,434,6.0,428
2024-04-29,M2,A,Chennai,468,78.0,0.802817282432574,Setup,390.0,425,60.0,365
